genetree,Constrained_AU,absolute_delta,ABlength
tmsa_align_AB10,0.351,40.244,1.256052379
tmsa_align_AB11,0.618,28.869,0.4931867981
tmsa_align_AB12,0.532,6.1063,3.199592626
tmsa_align_AB13,0.33,35.913,2.538709738
tmsa_align_AB14,0.375,32.457,0.793233127
tmsa_align_AB15,0.269,51.711,0.8534511657
tmsa_align_AB16,0.451,11.911,1.152273385
tmsa_align_AB17,0.512,5.3475,0.9441441866
tmsa_align_AB18,0.411,21.845,1.54889657
tmsa_align_AB19,0.218,64.923,1.031616681
tmsa_align_AB1,0.47,3.1933,2.679120288
tmsa_align_AB20,0.146,93.741,0.3293257421
tmsa_align_AB21,0.305,47.011,0.7336298072
tmsa_align_AB22,0.411,22.589,1.455825643
tmsa_align_AB23,0.187,93.054,0.7051988221
tmsa_align_AB24,0.114,110.68,0.7711312867
tmsa_align_AB25,0.0281,181.47,0.4587008196
tmsa_align_AB26,0.24,55.896,0.9759179295
tmsa_align_AB27,0.375,25.568,0.8932414834
tmsa_align_AB28,0.349,29.959,0.4162610586
tmsa_align_AB29,0.185,108.82,1.366155567
tmsa_align_AB2,0.699,48.808,1.626750629
tmsa_align_AB30,0.639,24.007,1.133944993
tmsa_align_AB3,0.34,23.073,1.266784044
tmsa_align_AB4,0.466,3.4712,4.793500281
tmsa_align_AB5,0.429,14.542,3.41534888
tmsa_align_AB7,0.249,43.29,1.984641419
tmsa_align_AB8,0.319,45.206,1.101706107
tmsa_align_AB9,0.799,62.042,3.415145422
